name,subsector,website,cik,headcount,net_revenue_per_head,roster_gmv,commission_rate,customers,arpu,managed_ad_spend,fee_rate,ebitda_margin_low,ebitda_margin_high,notes
Billion Dollar Boy,agency,https://www.billiondollarboy.com,,200,220000,,,,,,,,,"Independent social/creator agency (Heineken, L'Oreal, PepsiCo, Nintendo clients); headcount from LinkedIn (~201, Feb 2026); net_revenue_per_head is a benchmark assumption, not disclosed. 40% avg YoY growth, 99% US EBITDA growth cited (everything-pr.com)."
The Influencer Marketing Factory,agency,https://theinfluencermarketingfactory.com,,60,180000,,,,,,,,,"Miami TikTok/IG-focused agency (Sony Music, Universal Music, Snapchat clients); self-funded since 2018 per founders (Inc.com); headcount ~11-50 LinkedIn band, 60 used as approx; net_revenue_per_head is a benchmark, not disclosed."
Movement Strategy,agency,https://www.movementstrategy.com,,120,200000,,,,,,,,,"Social-first creative agency (Netflix, Amazon, WarnerMedia clients); no funding rounds on Crunchbase/Tracxn (medium confidence bootstrapped, no explicit founder quote found); headcount ~90-150 LinkedIn range, 120 used as approx; net_revenue_per_head is a benchmark."
The Digital Fairy,agency,https://www.thedigitalfairy.co.uk,,26,150000,,,,,,,,,"London Gen-Z social agency (Chanel, Nike, Adidas clients); founder started with a ~GBP16k personal loan, grew to GBP3M turnover, no VC rounds found; headcount ~26 per LinkedIn; net_revenue_per_head is a benchmark."
Socially Powerful,agency,https://sociallypowerful.com,,100,180000,,,,,,,,,"London social-first agency (Samsung, TikTok as client); no funding rounds found but no explicit bootstrapped statement either -- lower confidence than the other agencies here; headcount 51-200 LinkedIn band, 100 used as approx midpoint; net_revenue_per_head is a benchmark."
Kit (ConvertKit),software,https://kit.com,,,,,,,,,,,,"Email/creator-monetization platform; founder Nathan Barry has repeatedly stated no VC ever raised (yaro.blog interview). Company-disclosed revenue ~$43M/yr, but no public customer count to split into customers x arpu -- inputs left blank rather than guessed, so the model shows no estimate despite clearly qualifying."
Buffer,software,https://buffer.com,,,,,,67000,339,,,,,"Social media management platform; took small early seed/Series A money but spent $3.3M buying out ALL outside investors (buffer.com/resources/buying-out-investors), now effectively employee-owned. customers=67,000 paying customers and arpu=$339 both derived from company-reported ~$22.7M ARR / 67,000 customers (2025)."
Gumroad,software,https://gumroad.com,0001532978,,,,,,,,,,,"Creator storefront/e-commerce platform; founder Sahil Lavingia has publicly described buying back investor equity and paying a $5.34M shareholder dividend (sahillavingia.com/dividends). HOWEVER this tool's own Form D check found Gumroad, Inc. (CIK 1532978) filed a real equity Form D as recently as 2024-03-04 ($2,136,975 offering, fully sold) and 2023-06-16 -- so despite the earlier buyback narrative, Gumroad has taken on new private capital since. Treat as flagged, not bootstrapped, pending further diligence. Q2 2023 revenue $5.29M/quarter, ~$23.8M est. ARR (2024) -- no public seller/customer count to split into customers x arpu, left blank rather than guessed."
Ghost,software,https://ghost.org,,,,,,,,,,,,"Open-source publishing/newsletter platform (404 Media, Platformer run on it); run by the nonprofit Ghost Foundation, funded by a 2013 Kickstarter after 2x YC rejection, no VC. Founder stated on X it crossed $10M ARR as a bootstrapped nonprofit -- no public customer count to split into customers x arpu, left blank rather than guessed."
Flodesk,software,https://flodesk.com,,,,,,100000,270,,,,,"Email marketing/checkout platform for creators; founders rejected by YC, self-funded with ~$90k savings (Inc.com). customers=100,000+ paying customers (company-reported) and arpu=$270 derived from a conservative ~$27M ARR estimate (2024, IndieHackers) / 100,000 customers."
Patreon,software,https://patreon.com,0001860300,,,,,,,,,,,"Known VC-backed control case (Form D on file, CIK 1860300) -- included to validate the funding flag, not as a bootstrapped candidate. No financial inputs supplied on purpose."
Hawke Media,performance_marketing,https://www.hawkemedia.com,,,,,,,,500000000,0.15,,,"Outsourced-CMO/performance marketing agency; founder Erik Huberman describes it as self-funded growth with no outside investment (erikhuberman.com). managed_ad_spend=$500M is company-reported ('manages $500M+ in media spend'); fee_rate=15% is a benchmark assumption. Implied revenue (~$75M) is roughly consistent with third-party estimates of $100-250M, treated as an unverified cross-check only. ~245 employees per LinkedIn (May 2026)."
KlientBoost,performance_marketing,https://www.klientboost.com,,,,,,,,,,,,"Paid search/social + CRO performance agency; founder built it on personal savings, explicitly chose agency over VC-backed SaaS (Tom Hunt podcast). No current public ad-spend or revenue figures -- only a stale ~$1.2M ARR figure from 2016 -- inputs left blank rather than guessed. 100+ team members."
Kynship,performance_marketing,https://www.kynship.co,,,,,,,,,,,,"DTC-focused paid social/whitelisting agency; no funding rounds found on Crunchbase/PitchBook/Tracxn (medium confidence, no explicit founder quote). No public ad-spend figure -- only an unverified third-party revenue estimate of $10-25M -- inputs left blank rather than guessed. ~23 employees."
AdVenture Media Group,performance_marketing,https://adventuremedia.ai,,,,,,,,,,,,"NYC paid search/social performance agency; no funding rounds found (medium confidence). Company claims to have 'managed $1.5B+ in ad spend,' but this figure's time period (annual vs. cumulative) is unclear and applying it as an annual figure produces an implausible revenue result -- left blank rather than compute a misleading estimate. 51-200 employees."
Brighter Click,performance_marketing,https://www.brighterclick.com,,,,,,,,,,,,"Small UGC/performance agency (2-10 employees); minimum project size $5k+, avg rate $150-199/hr per The Manifest. No ad-spend or revenue figures found; likely below the $5M threshold -- included for subsector completeness."
Underscore Talent,talent_management,https://www.underscoretalent.com,,,,,0.15,,,,,,,"Creator talent management (The Labrant Family, Alex Wassabi, Preppy Kitchen per Deadline); founded 2021 by ex-Studio71 execs, no funding rounds found. No verified roster GMV; commission_rate=15% is a benchmark, not disclosed. A ~$27.5M revenue figure from an algorithmic estimator (Growjo) is unverified -- not used. ~132-136 employees per LinkedIn/trackers."
Shine Talent Group,talent_management,https://shinetalentgroup.com,,,,,0.15,,,,,,,"Beauty/wellness/lifestyle creator talent management (poppi, Glossier, Saie brand partners); founded 2015, reporting describes it as having 'remained independent' (netinfluencer.com). No verified roster GMV; commission_rate=15% is a benchmark, not disclosed. ~94-102 employees per LinkedIn."
VRAI Digital,talent_management,https://vraidigital.com,,,,,0.15,,,,,,,"Boutique talent management for multicultural creators (~12-creator roster); solo-founded 2019, no funding or investors found. No verified roster GMV; commission_rate=15% is a benchmark. Very small (2-10 employees per LinkedIn) -- likely below the $5M threshold, included for subsector completeness."
johanna b. voss Agency,talent_management,https://www.johannavoss.com,,,,,0.15,,,,,,,"Solo-founder boutique talent management (~7-creator roster incl. Muy Bueno's Yvette Marquez); founder explicitly self-funded via consulting income (johannavoss.com blog). Publishes industry commission-rate guidance of 10-20%, midpoint 15% used here. No roster GMV disclosed. Single-employee agency -- likely below the $5M threshold, included as the best-documented commission-rate source."
